Product,Status,Release Date,Cores,Max. Turbo Freq.(GHz),Base Freq.(GHz),Cache(MB),Cache Info,Integrated Graphics
Core i3-4010Y,Launched,Q3'13,2,N/A,1.30,3,Intel Smart Cache,Intel HD 4200 Graphics
Core i3-4012Y,Launched,Q3'13,2,N/A,1.50,3,Intel Smart Cache,Intel HD 4200 Graphics
Core i3-4020Y,Launched,Q3'13,2,N/A,1.50,3,Intel Smart Cache,Intel HD 4200 Graphics
Core i3-4025U,Launched,Q2'14,2,N/A,1.90,3,Intel Smart Cache,Intel HD 4400 Graphics
Core i3-4030U,Launched,Q2'14,2,N/A,1.90,3,Intel Smart Cache,Intel HD 4400 Graphics
Core i3-4030Y,Launched,Q2'14,2,N/A,1.60,3,Intel Smart Cache,Intel HD 4200 Graphics
Core m3-8100Y,Launched,Q3'18,2,3.40,1.10,4,Intel Smart Cache,Intel UHD 615 Graphics
Core m3-7Y32,Launched,Q2'17,2,3.00,1.10,4,Intel Smart Cache,Intel HD 615 Graphics
Core m3-7Y30,Launched,Q3'16,2,2.60,1.00,4,Intel Smart Cache,Intel HD 615 Graphics
Core m7-6Y75,Launched,Q3'15,2,3.10,1.20,4,Intel Smart Cache,Intel HD 515 Graphics
Core m5-6Y57,Launched,Q3'15,2,2.80,1.10,4,Intel Smart Cache,Intel HD 515 Graphics
Core m5-6Y54,Launched,Q3'15,2,2.70,1.10,4,Intel Smart Cache,Intel HD 515 Graphics
Core m3-6Y30,Launched,Q3'15,2,2.20,0.90,4,Intel Smart Cache,Intel HD 515 Graphics
Core M-5Y71,Launched,Q4'14,2,2.90,1.20,4,N/A,Intel HD 5300 Graphics
Core M-5Y70,Launched,Q3'14,2,2.60,1.10,4,N/A,Intel HD 5300 Graphics
Core M-5Y51,Launched,Q4'14,2,2.60,1.10,4,N/A,Intel HD 5300 Graphics
Core M-5Y31,Launched,Q4'14,2,2.40,0.90,4,N/A,Intel HD 5300 Graphics
Core M-5Y10c,Launched,Q4'14,2,2.00,0.80,4,N/A,Intel HD 5300 Graphics
Core M-5Y10a,Launched,Q3'14,2,2.00,0.80,4,N/A,Intel HD 5300 Graphics
Core M-5Y10,Launched,Q3'14,2,2.00,0.80,4,N/A,Intel HD 5300 Graphics
Core i7-2960XM Extreme Edition,Discontinued,Q4'11,4,3.70,2.70,8,Intel Smart Cache,Intel HD 3000 Graphics
Core i7-2920XM Extreme Edition,Discontinued,Q1'11,4,3.50,2.50,8,Intel Smart Cache,Intel HD 3000 Graphics
Core i7-990X Extreme Edition,Discontinued,Q1'11,6,3.73,3.46,12,Intel Smart Cache,N/A
Core i7-980X Extreme Edition,Discontinued,Q1'10,6,3.60,3.33,12,Intel Smart Cache,N/A
Core i7-975 Extreme Edition,Discontinued,Q2'09,4,3.60,3.33,8,Intel Smart Cache,N/A
Core i7-965 Extreme Edition,Discontinued,Q4'08,4,3.46,3.20,8,Intel Smart Cache,N/A
Core i7-940XM Extreme Edition,Discontinued,Q3'10,4,3.33,2.13,8,Intel Smart Cache,N/A
Core i7-920XM Extreme Edition,Discontinued,Q3'09,4,3.20,2.00,8,Intel Smart Cache,N/A
Core2 X9100 Extreme,Discontinued,Q3'08,2,N/A,3.06,6,L2 Cache,N/A
Core2 X9000 Extreme,Discontinued,Q1'08,2,N/A,2.80,6,L2 Cache,N/A
Core2 X7900 Extreme,Discontinued,Q3'07,2,N/A,2.80,4,L2 Cache,N/A
Core2 X7800 Extreme,Discontinued,Q3'07,2,N/A,2.60,4,L2 Cache,N/A
Core2 X6800 Extreme,Discontinued,Q3'06,2,N/A,2.93,4,L2 Cache,N/A
Core2 QX9775 Extreme,Discontinued,Q1'08,4,N/A,3.20,12,L2 Cache,N/A
Core2 QX9770 Extreme,Discontinued,Q1'08,4,N/A,3.20,12,L2 Cache,N/A
Core2 QX9650 Extreme,Discontinued,Q4'07,4,N/A,3.00,12,L2 Cache,N/A
Core2 QX9300 Extreme,Discontinued,Q3'08,4,N/A,2.53,12,L2 Cache,N/A
Core2 QX6850 Extreme,Discontinued,Q3'07,4,N/A,3.00,8,L2 Cache,N/A
Core2 QX6800 Extreme,Discontinued,Q2'07,4,N/A,2.93,8,L2 Cache,N/A
Core2 QX6700 Extreme,Discontinued,Q4'06,4,N/A,2.66,8,L2 Cache,N/A
Core i7-3840QM,Launched,Q3'12,4,3.80,2.80,8,Intel Smart Cache,Intel HD 4000 Graphics
Core i7-3820QM,Launched,Q2'12,4,3.70,2.70,8,Intel Smart Cache,Intel HD 4000 Graphics
Core i7-3770T,Discontinued,Q2'12,4,3.70,2.50,8,Intel Smart Cache,Intel HD 4000 Graphics
Core i7-3770S,Discontinued,Q2'12,4,3.90,3.10,8,Intel Smart Cache,Intel HD 4000 Graphics
Core i7-3770K,Discontinued,Q2'12,4,3.90,3.50,8,Intel Smart Cache,Intel HD 4000 Graphics
Core i7-3770,Discontinued,Q2'12,4,3.90,3.40,8,Intel Smart Cache,Intel HD 4000 Graphics
Core i7-3740QM,Launched,Q3'12,4,3.70,2.70,6,Intel Smart Cache,Intel HD 4000 Graphics
Core i7-3720QM,Launched,Q2'12,4,3.60,2.60,6,Intel Smart Cache,Intel HD 4000 Graphics
Core i7-3689Y,Launched,Q1'13,2,2.60,1.50,4,N/A,Intel HD 4000 Graphics
Core i7-3687U,Launched,Q1'13,2,3.30,2.10,4,Intel Smart Cache,Intel HD 4000 Graphics
Core i7-3667U,Launched,Q2'12,2,3.20,2.00,4,Intel Smart Cache,Intel HD 4000 Graphics
Core i7-3635QM,Launched,Q3'12,4,3.40,2.40,6,Intel Smart Cache,Intel HD 4000 Graphics
Core i7-3632QM,Launched,Q3'12,4,3.20,2.20,6,Intel Smart Cache,Intel HD 4000 Graphics
Core i7-3630QM,Launched,Q3'12,4,3.40,2.40,6,Intel Smart Cache,Intel HD 4000 Graphics
Core i7-3615QM,Launched,Q2'12,4,3.30,2.30,6,Intel Smart Cache,Intel HD 4000 Graphics
Core i7-3615QE,Launched,Q2'12,4,3.30,2.30,6,Intel Smart Cache,Intel HD 4000 Graphics
Core i7-3612QM,Launched,Q2'12,4,3.10,2.10,6,Intel Smart Cache,Intel HD 4000 Graphics
Core i7-3612QE,Launched,Q2'12,4,3.10,2.10,6,Intel Smart Cache,Intel HD 4000 Graphics
Core i7-3610QM,Launched,Q2'12,4,3.30,2.30,6,Intel Smart Cache,Intel HD 4000 Graphics
Core i7-3610QE,Launched,Q2'12,4,3.30,2.30,6,Intel Smart Cache,Intel HD 4000 Graphics
Core i7-3555LE,Launched,Q2'12,2,3.20,2.50,4,Intel Smart Cache,Intel HD 4000 Graphics
Core i7-3540M,Launched,Q1'13,2,3.70,3.00,4,Intel Smart Cache,Intel HD 4000 Graphics
Core i7-3537U,Launched,Q1'13,2,3.10,2.00,4,Intel Smart Cache,Intel HD 4000 Graphics
Core i7-3520M,Launched,Q2'12,2,3.60,2.90,4,Intel Smart Cache,Intel HD 4000 Graphics
Core i7-3517UE,Launched,Q2'12,2,2.80,1.70,4,Intel Smart Cache,Intel HD 4000 Graphics
Core i7-3517U,Launched,Q2'12,2,3.00,1.90,4,Intel Smart Cache,Intel HD 4000 Graphics
Core i5-3610ME,Launched,Q2'12,2,3.30,2.70,3,Intel Smart Cache,Intel HD 4000 Graphics
Core i5-3570S,Discontinued,Q2'12,4,3.80,3.10,6,Intel Smart Cache,Intel HD 2500 Graphics
Core i5-3570T,Discontinued,Q2'12,4,3.30,2.30,6,Intel Smart Cache,Intel HD 2500 Graphics
Core i5-3570K,Discontinued,Q2'12,4,3.80,3.40,6,Intel Smart Cache,Intel HD 4000 Graphics
Core i5-3570,Discontinued,Q2'12,4,3.80,3.40,6,Intel Smart Cache,Intel HD 2500 Graphics
Core i5-3550S,Launched,Q2'12,4,3.70,3.00,6,Intel Smart Cache,Intel HD 2500 Graphics
Core i5-3550,Discontinued,Q2'12,4,3.70,3.30,6,Intel Smart Cache,Intel HD 2500 Graphics
Core i5-3475S,Discontinued,Q2'12,4,3.60,2.90,6,Intel Smart Cache,Intel HD 4000 Graphics
Core i5-3470T,Discontinued,Q2'12,2,3.60,2.90,3,Intel Smart Cache,Intel HD 2500 Graphics
Core i5-3470S,Discontinued,Q2'12,4,3.60,2.90,6,Intel Smart Cache,Intel HD 2500 Graphics
Core i5-3470,Discontinued,Q2'12,4,3.60,3.20,6,Intel Smart Cache,Intel HD 2500 Graphics
Core i5-3450S,Discontinued,Q2'12,4,3.50,2.80,6,Intel Smart Cache,Intel HD 2500 Graphics
Core i5-3450,Discontinued,Q2'12,4,3.50,3.10,6,Intel Smart Cache,Intel HD 2500 Graphics
Core i5-3439Y,Launched,Q1'13,2,2.30,1.50,3,N/A,Intel HD 4000 Graphics
Core i5-3437U,Launched,Q1'13,2,2.90,1.90,3,Intel Smart Cache,Intel HD 4000 Graphics
Core i5-3427U,Launched,Q2'12,2,2.80,1.80,3,Intel Smart Cache,Intel HD 4000 Graphics
Core i5-3380M,Launched,Q1'13,2,3.60,2.90,3,Intel Smart Cache,Intel HD 4000 Graphics
Core i5-3360M,Launched,Q2'12,2,3.50,2.80,3,Intel Smart Cache,Intel HD 4000 Graphics
Core i5-3350P,Discontinued,Q3'12,4,3.30,3.10,6,Intel Smart Cache,N/A
Core i5-3340S,Discontinued,Q3'13,4,3.30,2.80,6,Intel Smart Cache,Intel HD 2500 Graphics
Core i5-3340M,Launched,Q1'13,2,3.40,2.70,3,Intel Smart Cache,Intel HD 4000 Graphics
Core i5-3340,Discontinued,Q3'13,4,3.30,3.10,6,Intel Smart Cache,Intel HD 2500 Graphics
Core i5-3339Y,Launched,Q1'13,2,2.00,1.50,3,N/A,Intel HD 4000 Graphics
Core i5-3337U,Launched,Q1'13,2,2.70,1.80,3,Intel Smart Cache,Intel HD 4000 Graphics
Core i5-3330S,Discontinued,Q3'12,4,3.20,2.70,6,Intel Smart Cache,Intel HD 2500 Graphics
Core i5-3330,Discontinued,Q3'12,4,3.20,3.00,6,Intel Smart Cache,Intel HD 2500 Graphics
Core i5-3320M,Launched,Q2'12,2,3.30,2.60,3,Intel Smart Cache,Intel HD 4000 Graphics
Core i5-3317U,Launched,Q2'12,2,2.60,1.70,3,Intel Smart Cache,Intel HD 4000 Graphics
Core i5-3230M,Launched,Q1'13,2,3.20,2.60,3,Intel Smart Cache,Intel HD 4000 Graphics
Core i5-3210M,Launched,Q2'12,2,3.10,2.50,3,Intel Smart Cache,Intel HD 4000 Graphics
Core i3-3250T,Discontinued,Q2'13,2,N/A,3.00,3,Intel Smart Cache,Intel HD 2500 Graphics
Core i3-3250,Discontinued,Q2'13,2,N/A,3.50,3,Intel Smart Cache,Intel HD 2500 Graphics
Core i3-3245,Discontinued,Q2'13,2,N/A,3.40,3,Intel Smart Cache,Intel HD 4000 Graphics
Core i3-3240T,Discontinued,Q3'12,2,N/A,2.90,3,Intel Smart Cache,Intel HD 2500 Graphics
Core i3-3240,Discontinued,Q3'12,2,N/A,3.40,3,Intel Smart Cache,Intel HD 2500 Graphics
Core i3-3229U,Launched,Q1'13,2,N/A,1.40,3,N/A,Intel HD 4000 Graphics
Core i3-3227U,Launched,Q1'13,2,N/A,1.90,3,Intel Smart Cache,Intel HD 4000 Graphics
Core i3-3225,Discontinued,Q3'12,2,N/A,3.30,3,Intel Smart Cache,Intel HD 4000 Graphics
Core i3-3220T,Discontinued,Q3'12,2,N/A,2.80,3,Intel Smart Cache,Intel HD 2500 Graphics
Core i3-3220,Discontinued,Q3'12,2,N/A,3.30,3,Intel Smart Cache,Intel HD 2500 Graphics
Core i3-3217UE,Launched,Q3'12,2,N/A,1.60,3,Intel Smart Cache,Intel HD 4000 Graphics
Core i3-3217U,Launched,Q2'12,2,N/A,1.80,3,Intel Smart Cache,Intel HD 4000 Graphics
Core i3-3210,Discontinued,Q1'13,2,N/A,3.20,3,Intel Smart Cache,Intel HD 2500 Graphics
Core i3-3130M,Launched,Q1'13,2,N/A,2.60,3,Intel Smart Cache,Intel HD 4000 Graphics
Core i3-3120ME,Launched,Q3'12,2,N/A,2.40,3,Intel Smart Cache,Intel HD 4000 Graphics
Core i3-3120M,Launched,Q3'12,2,N/A,2.50,3,Intel Smart Cache,Intel HD 4000 Graphics
Core i3-3115C,Launched,Q3'13,2,N/A,2.50,4,L3 Cache,N/A
Core i3-3110M,Launched,Q2'12,2,N/A,2.40,3,Intel Smart Cache,Intel HD 4000 Graphics
Core i7-2860QM,Discontinued,Q4'11,4,3.60,2.50,8,Intel Smart Cache,Intel HD 3000 Graphics
Core i7-2820QM,Discontinued,Q1'11,4,3.40,2.30,8,Intel Smart Cache,Intel HD 3000 Graphics
Core i7-2760QM,Discontinued,Q4'11,4,3.50,2.40,6,Intel Smart Cache,Intel HD 3000 Graphics
Core i7-2720QM,Discontinued,Q1'11,4,3.30,2.20,6,Intel Smart Cache,Intel HD 3000 Graphics
Core i7-2715QE,Discontinued,Q1'11,4,3.00,2.10,6,Intel Smart Cache,Intel HD 3000 Graphics
Core i7-2710QE,Discontinued,Q1'11,4,3.00,2.10,6,Intel Smart Cache,Intel HD 3000 Graphics
Core i7-2700K,Discontinued,Q4'11,4,3.90,3.50,8,Intel Smart Cache,Intel HD 3000 Graphics
Core i7-2677M,Discontinued,Q2'11,2,2.90,1.80,4,L3 Cache,Intel HD 3000 Graphics
Core i7-2670QM,Discontinued,Q4'11,4,3.10,2.20,6,Intel Smart Cache,Intel HD 3000 Graphics
Core i7-2675QM,Discontinued,Q4'11,4,3.10,2.20,6,Intel Smart Cache,Intel HD 3000 Graphics
Core i7-2657M,Discontinued,Q1'11,2,2.70,1.60,4,Intel Smart Cache,Intel HD 3000 Graphics
Core i7-2655LE,Discontinued,Q1'11,2,2.90,2.20,4,Intel Smart Cache,Intel HD 3000 Graphics
Core i7-2649M,Discontinued,Q1'11,2,3.20,2.30,4,Intel Smart Cache,Intel HD 3000 Graphics
Core i7-2640M,Discontinued,Q4'11,2,3.50,2.80,4,Intel Smart Cache,Intel HD 3000 Graphics
Core i7-2637M,Discontinued,Q2'11,2,2.80,1.70,4,L3 Cache,Intel HD 3000 Graphics
Core i7-2635QM,Discontinued,Q1'11,4,2.90,2.00,6,Intel Smart Cache,Intel HD 3000 Graphics
Core i7-2630QM,Discontinued,Q1'11,4,2.90,2.00,6,Intel Smart Cache,Intel HD 3000 Graphics
Core i7-2629M,Discontinued,Q1'11,2,3.00,2.10,4,Intel Smart Cache,Intel HD 3000 Graphics
Core i7-2620M,Discontinued,Q1'11,2,3.40,2.70,4,Intel Smart Cache,Intel HD 3000 Graphics
Core i7-2617M,Discontinued,Q1'11,2,2.60,1.50,4,Intel Smart Cache,Intel HD 3000 Graphics
Core i7-2610UE,Discontinued,Q1'11,2,2.40,1.50,4,Intel Smart Cache,Intel HD 3000 Graphics
Core i7-2600S,Discontinued,Q1'11,4,3.80,2.80,8,Intel Smart Cache,Intel HD 2000 Graphics
Core i7-2600K,Discontinued,Q1'11,4,3.80,3.40,8,Intel Smart Cache,Intel HD 3000 Graphics
Core i7-2600,Discontinued,Q1'11,4,3.80,3.40,8,Intel Smart Cache,Intel HD 2000 Graphics
Core i5-2557M,Discontinued,Q2'11,2,2.70,1.70,3,L3 Cache,Intel HD 3000 Graphics
Core i5-2550K,Discontinued,Q1'12,4,3.80,3.40,6,Intel Smart Cache,N/A
Core i5-2540M,Discontinued,Q1'11,2,3.30,2.60,3,Intel Smart Cache,Intel HD 3000 Graphics
Core i5-2537M,Discontinued,Q1'11,2,2.30,1.40,3,Intel Smart Cache,Intel HD 3000 Graphics
Core i5-2520M,Discontinued,Q1'11,2,3.20,2.50,3,Intel Smart Cache,Intel HD 3000 Graphics
Core i5-2515E,Discontinued,Q1'11,2,3.10,2.50,3,Intel Smart Cache,Intel HD 3000 Graphics
Core i5-2510E,Discontinued,Q1'11,2,3.10,2.50,3,Intel Smart Cache,Intel HD 3000 Graphics
