Product,Status,Release Date,Code Name,Cores,Threads,Lithography(nm),Max. Turbo Freq.(GHz),Base Freq.(GHz),TDP(W),Cache(MB),Cache Info,Max Memory Size(GB),Memory Types,Max Memory Speed(MHz),Integrated Graphics
Xeon D-1602,Launched,Q2'19,Hewitt Lake,2,4,14,3.20,2.50,27,3,N/A,128,"DDR4, DDR3",2133,N/A
Xeon D-1622,Launched,Q2'19,Hewitt Lake,4,8,14,3.20,2.60,40,6,N/A,128,"DDR4, DDR3",2133,N/A
Xeon D-1623N,Launched,Q2'19,Hewitt Lake,4,8,14,3.20,2.40,35,6,N/A,128,"DDR4, DDR3",1866,N/A
Xeon D-1627,Launched,Q2'19,Hewitt Lake,4,8,14,3.20,2.90,45,6,N/A,128,"DDR4, DDR3",2133,N/A
Xeon D-1633N,Launched,Q2'19,Hewitt Lake,6,12,14,3.20,2.50,45,9,N/A,128,"DDR4, DDR3",2133,N/A
Xeon D-1637,Launched,Q2'19,Hewitt Lake,6,12,14,3.20,2.90,55,9,N/A,128,"DDR4, DDR3",2400,N/A
Xeon D-1649N,Launched,Q2'19,Hewitt Lake,8,16,14,3.00,2.30,45,12,N/A,128,"DDR4, DDR3",2133,N/A
Xeon D-1653N,Launched,Q2'19,Hewitt Lake,8,16,14,3.20,2.80,65,12,N/A,128,"DDR4, DDR3",2400,N/A
Xeon D-1524N,Launched,Q4'18,Broadwell,4,8,N/A,N/A,2.00,45,6,N/A,N/A,N/A,N/A,N/A
Xeon D-2123IT,Launched,Q1'18,Skylake,4,8,14,3.00,2.20,60,8,N/A,512,DDR4,2400,N/A
Xeon D-2141I,Launched,Q1'18,Skylake,8,16,14,3.00,2.20,65,11,N/A,512,DDR4,2133,N/A
Xeon D-2142IT,Launched,Q1'18,Skylake,8,16,14,3.00,1.90,65,11,N/A,512,DDR4,2133,N/A
Xeon D-2143IT,Launched,Q1'18,Skylake,8,16,14,3.00,2.20,65,11,N/A,512,DDR4,2133,N/A
Xeon D-2145NT,Launched,Q1'18,Skylake,8,16,14,3.00,1.90,65,11,N/A,512,DDR4,2133,N/A
Xeon D-2146NT,Launched,Q1'18,Skylake,8,16,14,3.00,2.30,80,11,N/A,512,DDR4,2133,N/A
Xeon D-2161I,Launched,Q1'18,Skylake,12,24,14,3.00,2.20,80,16.5,L2 Cache,512,DDR4,2133,N/A
Xeon D-2163IT,Launched,Q1'18,Skylake,12,24,14,3.00,2.10,75,17,N/A,512,DDR4,2133,N/A
Xeon D-2166NT,Launched,Q1'18,Skylake,12,24,14,3.00,2.00,85,17,N/A,512,DDR4,2133,N/A
Xeon D-2173IT,Launched,Q1'18,Skylake,14,28,14,3.00,1.70,70,19,N/A,512,DDR4,2133,N/A
Xeon D-2177NT,Launched,Q1'18,Skylake,14,28,14,3.00,1.90,105,19,N/A,512,DDR4,2667,N/A
Xeon D-2183IT,Launched,Q1'18,Skylake,16,32,14,3.00,2.20,100,22,N/A,512,DDR4,2400,N/A
Xeon D-2187NT,Launched,Q1'18,Skylake,16,32,14,3.00,2.00,110,22,N/A,512,DDR4,2667,N/A
Xeon D-1513N,Launched,Q3'17,Broadwell,4,8,14,2.20,1.60,35,6,N/A,128,"DDR4, DDR3",N/A,N/A
Xeon D-1523N,Launched,Q3'17,Broadwell,4,8,14,2.60,2.00,45,6,N/A,128,"DDR4, DDR3",N/A,N/A
Xeon D-1533N,Launched,Q3'17,Broadwell,6,12,14,2.70,2.10,45,9,N/A,128,"DDR4, DDR3",N/A,N/A
Xeon D-1543N,Launched,Q3'17,Broadwell,8,16,14,2.50,1.90,45,12,N/A,128,"DDR4, DDR3",N/A,N/A
Xeon D-1553N,Launched,Q3'17,Broadwell,8,16,14,2.70,2.30,65,12,N/A,128,"DDR4, DDR3",N/A,N/A
Xeon D-1529,Launched,Q2'16,Broadwell,4,8,14,1.30,1.30,20,6,N/A,128,"DDR4, DDR3",1600,N/A
Xeon D-1539,Launched,Q2'16,Broadwell,8,16,14,2.20,1.60,35,12,N/A,128,"DDR4, DDR3",2133,N/A
Xeon D-1559,Launched,Q2'16,Broadwell,12,24,14,2.10,1.50,45,18,N/A,128,"DDR4, DDR3",2133,N/A
Xeon D-1557,Launched,Q1'16,Broadwell,12,24,14,2.10,1.50,45,18,N/A,128,"DDR4, DDR3",2133,N/A
Xeon D-1567,Launched,Q1'16,Broadwell,12,24,14,2.70,2.10,65,18,N/A,128,"DDR4, DDR3",2133,N/A
Xeon D-1571,Launched,Q1'16,Broadwell,16,32,14,2.10,1.30,45,24,N/A,128,"DDR4, DDR3",2400,N/A
Xeon D-1577,Launched,Q1'16,Broadwell,16,32,14,2.10,1.30,45,24,N/A,128,"DDR4, DDR3",2133,N/A
Xeon D-1518,Launched,Q4'15,Broadwell,4,8,14,2.20,2.20,35,6,N/A,128,"DDR4, DDR3",2133,N/A
Xeon D-1521,Launched,Q4'15,Broadwell,4,8,14,2.70,2.40,45,6,N/A,128,"DDR4, DDR3",2133,N/A
Xeon D-1527,Launched,Q4'15,Broadwell,4,8,14,2.70,2.20,35,6,N/A,128,"DDR4, DDR3",2133,N/A
Xeon D-1528,Launched,Q4'15,Broadwell,6,12,14,2.50,1.90,35,9,N/A,128,"DDR4, DDR3",2133,N/A
Xeon D-1531,Launched,Q4'15,Broadwell,6,12,14,2.70,2.20,45,9,N/A,128,"DDR4, DDR3",2133,N/A
Xeon D-1537,Launched,Q4'15,Broadwell,8,16,14,2.30,1.70,35,12,N/A,128,"DDR4, DDR3",2133,N/A
Xeon D-1541,Launched,Q4'15,Broadwell,8,16,14,2.70,2.10,45,12,N/A,128,"DDR4, DDR3",2400,N/A
Xeon D-1548,Launched,Q4'15,Broadwell,8,16,14,2.60,2.00,45,12,N/A,128,"DDR4, DDR3",2400,N/A
Xeon D-1520,Launched,Q1'15,Broadwell,4,8,14,2.60,2.20,45,6,N/A,128,DDR4,2133,N/A
Xeon D-1540,Launched,Q1'15,Broadwell,8,16,14,2.60,2.00,45,12,N/A,128,DDR4,2133,N/A
Xeon E7-8894 v4,Discontinued,Q1'17,Broadwell,24,48,14,3.40,2.40,165,60,N/A,3072,"DDR4-1333/1600/1866, DDR3-1066/1333/1600",N/A,N/A
Xeon E7-4809 v4,Discontinued,Q2'16,Broadwell,8,16,14,N/A,2.10,115,20,N/A,3072,"DDR4-1333/1600/1866, DDR3-1066/1333",N/A,N/A
Xeon E7-4820 v4,Discontinued,Q2'16,Broadwell,10,20,14,N/A,2.00,115,25,N/A,3072,"DDR4-1333/1600/1866, DDR3-1066/1333",N/A,N/A
Xeon E7-4830 v4,Discontinued,Q2'16,Broadwell,14,28,14,2.80,2.00,115,35,N/A,3072,"DDR4-1333/1600/1866, DDR3-1066/1333/1600",N/A,N/A
Xeon E7-4850 v4,Discontinued,Q2'16,Broadwell,16,32,14,2.80,2.10,115,40,N/A,3072,"DDR4-1333/1600/1866, DDR3-1066/1333/1600",N/A,N/A
Xeon E7-8860 v4,Discontinued,Q2'16,Broadwell,18,36,14,3.20,2.20,140,45,N/A,3072,"DDR4-1333/1600/1866, DDR3-1066/1333/1600",N/A,N/A
Xeon E7-8867 v4,Discontinued,Q2'16,Broadwell,18,36,14,3.30,2.40,165,45,N/A,3072,"DDR4-1333/1600/1866, DDR3-1066/1333/1600",N/A,N/A
Xeon E7-8870 v4,Discontinued,Q2'16,Broadwell,20,40,14,3.00,2.10,140,50,N/A,3072,"DDR4-1333/1600/1866, DDR3-1066/1333/1600",N/A,N/A
Xeon E7-8880 v4,Discontinued,Q2'16,Broadwell,22,44,14,3.30,2.20,150,55,N/A,3072,"DDR4-1333/1600/1866, DDR3-1066/1333/1600",N/A,N/A
Xeon E7-8890 v4,Discontinued,Q2'16,Broadwell,24,48,14,3.40,2.20,165,60,N/A,3072,"DDR4-1333/1600/1866, DDR3-1066/1333/1600",N/A,N/A
