Product,Status,Release Date,Code Name,Vertical Segment,Cores,Threads,Lithography(nm),Max. Turbo Freq.(GHz),Base Freq.(GHz),TDP(W),Cache(MB),Cache Info,Max Memory Size(GB),Memory Types,Max Memory Speed(MHz),Max Memory Channels,Integrated Graphics,Sockets Supported,Max Operating Temp.(°C)
Atom x5-E3940,Launched,Q4'16,Apollo Lake,Embedded,4,4,14,N/A,1.60,9.5,2,L2 Cache,8,"DDR3L (ECC and Non-ECC) up to 1866 MT/s; LPDDR4 up to 2133 MT/s",N/A,4,Intel HD 500 Graphics,FCBGA1296,85
Atom x7-E3950,Launched,Q4'16,Apollo Lake,Embedded,4,4,14,N/A,1.60,12,2,L2 Cache,8,"DDR3L (ECC and Non-ECC) up to 1866 MT/s; LPDDR4 up to 2400 MT/s",N/A,4,Intel HD 505 Graphics,FCBGA1296,85
Atom x5-Z8550,Discontinued,Q1'16,Cherry Trail,Mobile,4,N/A,14,N/A,1.44,N/A,2,N/A,8,LPDDR3,1600,2,Name Unknown,UTFCBGA1380,90
Atom x7-Z8750,Discontinued,Q1'16,Cherry Trail,Mobile,4,N/A,14,N/A,1.60,N/A,2,N/A,8,LPDDR3,1600,2,Name Unknown,UTFCBGA1380,90
Atom x5-Z8330,Discontinued,Q1'16,Cherry Trail,Mobile,4,N/A,14,N/A,1.44,N/A,2,L2 Cache,2,DDR3L-RS,1600,1,Name Unknown,N/A,90
Atom x5-Z8350,Discontinued,Q1'16,Cherry Trail,Mobile,4,N/A,14,N/A,1.44,N/A,2,N/A,2,DDR3L/RS,1600,1,Name Unknown,UTFCBGA592,90
Atom x5-E8000,Launched,Q1'16,Braswell,Embedded,4,4,14,N/A,1.04,5,2,N/A,8,DDR3L,1600,2,Intel HD Graphics for Intel Celeron N3000 Processor Series,FCBGA1170,90
Atom x3-C3200RK,Discontinued,Q1'15,SoFIA 3G R,Mobile,4,N/A,28,N/A,N/A,N/A,1,N/A,2,"1x32 LPDDR2/3 1066 2x16 DDR3L 1333",N/A,1,Name Unknown,N/A,85
Atom x3-C3405,Announced,Q1'15,SoFIA LTE,Mobile,4,N/A,28,N/A,1.20,N/A,1,N/A,2,"1x32 LPDDR2/3 1066",N/A,1,Name Unknown,N/A,85
Atom x3-C3230RK,Discontinued,Q1'15,SoFIA 3G R,Mobile,4,N/A,28,N/A,N/A,N/A,1,N/A,2,"1x32 LPDDR2/3 1066 2x16 DDR3L 1333",N/A,1,Name Unknown,N/A,85
Atom x3-C3445,Discontinued,Q1'15,SoFIA LTE,Mobile,4,N/A,28,N/A,1.20,N/A,1,N/A,2,"1x32 LPDDR2/3 1066",N/A,1,Name Unknown,N/A,85
Atom x5-Z8300,Discontinued,Q2'15,Cherry Trail,Mobile,4,N/A,14,N/A,1.44,N/A,2,N/A,2,DDR3L-RS,1600,1,Name Unknown,UTFCBGA592,90
