Product,Status,Release Date,Cores,Max. Turbo Freq.(GHz),Base Freq.(GHz),Cache(MB),Cache Info,Integrated Graphics
Pentium T2080,Discontinued,Q2'07,2,N/A,1.73,1,L2 Cache,N/A
Pentium T2060,Discontinued,Q1'07,2,N/A,1.60,1,L2 Cache,N/A
Pentium U5600,Discontinued,Q1'11,2,N/A,1.33,3,Intel Smart Cache,Intel HD Graphics for Previous Gen Intel Processors
Pentium U5400,Discontinued,Q2'10,2,N/A,1.20,3,Intel Smart Cache,Intel HD Graphics for Previous Gen Intel Processors
Pentium 4 745 Supporting HT Technology,Discontinued,N/A,1,N/A,3.00,0.5,L2 Cache,N/A
Pentium 4 672 Supporting HT Technology,Discontinued,Q4'05,1,N/A,3.80,2,L2 Cache,N/A
Pentium 4 670 Supporting HT Technology,Discontinued,Q2'05,1,N/A,3.80,2,L2 Cache,N/A
Pentium 4 662 Supporting HT Technology,Discontinued,Q4'05,1,N/A,3.60,2,L2 Cache,N/A
Pentium 4 661 Supporting HT Technology,Discontinued,Q1'06,1,N/A,3.60,2,L2 Cache,N/A
Pentium 4 660 Supporting HT Technology,Discontinued,Q1'05,1,N/A,3.60,2,L2 Cache,N/A
Pentium 4 651 Supporting HT Technology,Discontinued,Q2'06,1,N/A,3.40,2,L2 Cache,N/A
Pentium 4 650 Supporting HT Technology,Discontinued,Q1'05,1,N/A,3.40,2,L2 Cache,N/A
Pentium 4 641 Supporting HT Technology,Discontinued,Q1'06,1,N/A,3.20,2,L2 Cache,N/A
Pentium 4 640 Supporting HT Technology,Discontinued,Q1'05,1,N/A,3.20,2,L2 Cache,N/A
Pentium 4 631 Supporting HT Technology,Discontinued,Q1'06,1,N/A,3.00,2,L2 Cache,N/A
Pentium 4 630 Supporting HT Technology,Discontinued,Q4'05,1,N/A,3.00,2,L2 Cache,N/A
Pentium 4 620 Supporting HT Technology,Discontinued,N/A,1,N/A,2.80,2,L2 Cache,N/A
Pentium 4 571 Supporting HT Technology,Discontinued,Q3'05,1,N/A,3.80,1,L2 Cache,N/A
Pentium 4 570J Supporting HT Technology,Discontinued,Q4'04,1,N/A,3.80,1,L2 Cache,N/A
Pentium 4 561 Supporting HT Technology,Discontinued,Q3'05,1,N/A,3.60,1,L2 Cache,N/A
Pentium 4 560J Supporting HT Technology,Discontinued,N/A,1,N/A,3.60,1,L2 Cache,N/A
Pentium 4 560/560J Supporting HT Technology,Discontinued,N/A,1,N/A,3.60,1,L2 Cache,N/A
Pentium 4 551 Supporting HT Technology,Discontinued,Q2'05,1,N/A,3.40,1,L2 Cache,N/A
Pentium 4 550J Supporting HT Technology,Discontinued,Q4'04,1,N/A,3.40,1,L2 Cache,N/A
Pentium 4 550/550J Supporting HT Technology,Discontinued,N/A,1,N/A,3.40,1,L2 Cache,N/A
Pentium 4 550 Supporting HT Technology,Discontinued,Q2'04,1,N/A,3.40,1,L2 Cache,N/A
Pentium 4 541 Supporting HT Technology,Discontinued,Q3'04,1,N/A,3.20,1,L2 Cache,N/A
Pentium 4 540J Supporting HT Technology,Discontinued,Q4'05,1,N/A,3.20,1,L2 Cache,N/A
Pentium 4 540/540J Supporting HT Technology,Discontinued,Q2'04,1,N/A,3.20,1,L2 Cache,N/A
Pentium 4 531 Supporting HT Technology,Discontinued,Q2'04,1,N/A,3.00,1,L2 Cache,N/A
Pentium 4 530J Supporting HT Technology,Discontinued,Q4'04,1,N/A,3.00,1,L2 Cache,N/A
Pentium 4 530/530J Supporting HT Technology,Discontinued,Q2'04,1,N/A,3.00,1,L2 Cache,N/A
Pentium 4 524 Supporting HT Technology,Discontinued,Q2'06,1,N/A,3.06,1,L2 Cache,N/A
Pentium 4 521 Supporting HT Technology,Discontinued,Q3'05,1,N/A,2.80,1,L2 Cache,N/A
Pentium 4 520/521 Supporting HT Technology,Discontinued,N/A,1,N/A,2.80,1,L2 Cache,N/A
Pentium 4 520J Supporting HT Technology,Discontinued,Q4'04,1,N/A,2.80,1,L2 Cache,N/A
Pentium 4 520 Supporting HT Technology,Discontinued,Q2'04,1,N/A,2.80,1,L2 Cache,N/A
Pentium 4 517 Supporting HT Technology,Discontinued,Q3'05,1,N/A,2.93,1,L2 Cache,N/A
"Pentium 4 Extreme Edition Supporting HT Technology (3.73 GHz, 2M Cache, 1066 MHz FSB)",Discontinued,Q4'04,1,N/A,3.73,2,L2 Cache,N/A
"Pentium 4 Extreme Edition Supporting HT Technology (3.46 GHz, 2M Cache, 1066 MHz FSB)",Discontinued,Q4'04,1,N/A,3.46,2,L2 Cache,N/A
"Pentium 4 Extreme Edition Supporting HT Technology (3.40 GHz, 2M Cache, 800 MHz FSB)",Discontinued,N/A,1,N/A,3.40,2,L3 Cache,N/A
"Pentium 4 Extreme Edition Supporting HT Technology (3.20 GHz, 2M Cache, 800 MHz FSB)",Discontinued,N/A,1,N/A,3.20,2,L2 Cache,N/A
"Pentium 4 Supporting HT Technology (4.00 GHz, 2M Cache, 1066 MHz FSB)",Discontinued,N/A,1,N/A,4.00,2,N/A,N/A
"Pentium 4 Supporting HT Technology (3.80 GHZ, 1M Cache, 800 MHz FSB)",Discontinued,N/A,1,N/A,3.80,1,N/A,N/A
