Product,Status,Release Date,Code Name,Vertical Segment,Cores,Threads,Lithography(nm),Max. Turbo Freq.(GHz),Base Freq.(GHz),TDP(W),Cache(MB),Cache Info,Max Memory Size(GB),Memory Types,Max Memory Speed(MHz),Max Memory Channels,Integrated Graphics,Sockets Supported,Max Operating Temp.(°C)
Pentium G4400TE,Launched,Q4'15,Skylake,Embedded,2,2,14,N/A,2.40,35,3,Intel Smart Cache,64,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",N/A,2,Intel HD 510 Graphics,FCLGA1151,N/A
Pentium G4400,Launched,Q3'15,Skylake,Desktop,2,2,14,N/A,3.30,54,3,Intel Smart Cache,64,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",N/A,2,Intel HD 510 Graphics,FCLGA1151,N/A
Pentium G4400T,Discontinued,Q3'15,Skylake,Desktop,2,2,14,N/A,2.90,35,3,Intel Smart Cache,64,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",N/A,2,Intel HD 510 Graphics,FCLGA1151,N/A
Pentium G4500,Discontinued,Q3'15,Skylake,Desktop,2,2,14,N/A,3.50,51,3,Intel Smart Cache,64,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",N/A,2,Intel HD 530 Graphics,FCLGA1151,N/A
Pentium G4500T,Discontinued,Q3'15,Skylake,Desktop,2,2,14,N/A,3.00,35,3,Intel Smart Cache,64,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",N/A,2,Intel HD 530 Graphics,FCLGA1151,N/A
Pentium G4520,Discontinued,Q3'15,Skylake,Desktop,2,2,14,N/A,3.60,51,3,Intel Smart Cache,64,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",N/A,2,Intel HD 530 Graphics,FCLGA1151,N/A
Pentium G3260,Discontinued,Q1'15,Haswell,Desktop,2,2,22,N/A,3.30,53,3,N/A,32,"DDR3-1333, DDR3L-1333 @ 1.5V",N/A,2,Intel HD Graphics for 4th Gen Intel Processors,FCLGA1150,N/A
Pentium G3260T,Discontinued,Q1'15,Haswell,Desktop,2,2,22,N/A,2.90,35,3,N/A,32,"DDR3-1333, DDR3L-1333 @ 1.5V",N/A,2,Intel HD Graphics for 4th Gen Intel Processors,FCLGA1150,66.4
Pentium G3460T,Discontinued,Q1'15,Haswell,Desktop,2,2,22,N/A,3.00,35,3,N/A,32,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",N/A,2,Intel HD Graphics for 4th Gen Intel Processors,FCLGA1150,66.4
Pentium G3470,Discontinued,Q1'15,Haswell,Desktop,2,2,22,N/A,3.60,53,3,N/A,32,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",N/A,2,Intel HD Graphics for 4th Gen Intel Processors,FCLGA1150,72
Pentium G3250,Discontinued,Q3'14,Haswell,Desktop,2,2,22,N/A,3.20,53,3,Intel Smart Cache,32,"DDR3-1333, DDR3L-1333 @ 1.5V",N/A,2,Intel HD Graphics for 4th Gen Intel Processors,FCLGA1150,72
Pentium G3250T,Discontinued,Q3'14,Haswell,Desktop,2,2,22,N/A,2.80,35,3,Intel Smart Cache,32,"DDR3-1333, DDR3L-1333 @ 1.5V",N/A,2,Intel HD Graphics for 4th Gen Intel Processors,FCLGA1150,66.4
Pentium G3450T,Discontinued,Q3'14,Haswell,Desktop,2,2,22,N/A,2.90,35,3,Intel Smart Cache,32,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",N/A,2,Intel HD Graphics for 4th Gen Intel Processors,FCLGA1150,66.4
Pentium G3460,Discontinued,Q3'14,Haswell,Desktop,2,2,22,N/A,3.50,53,3,Intel Smart Cache,32,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",N/A,2,Intel HD Graphics for 4th Gen Intel Processors,FCLGA1150,72
Pentium G3258,Discontinued,Q2'14,Haswell,Desktop,2,2,22,N/A,3.20,53,3,N/A,32,"DDR3-1333, DDR3L-1333 @ 1.5V",N/A,2,Intel HD Graphics for 4th Gen Intel Processors,FCLGA1150,72
Pentium G3240,Discontinued,Q2'14,Haswell,Desktop,2,2,22,N/A,3.10,53,3,Intel Smart Cache,32,"DDR3-1333, DDR3L-1333 @ 1.5V",N/A,2,Intel HD Graphics for 4th Gen Intel Processors,FCLGA1150,72
Pentium G3240T,Discontinued,Q2'14,Haswell,Desktop,2,2,22,N/A,2.70,35,3,Intel Smart Cache,32,"DDR3-1333, DDR3L-1333 @ 1.5V",N/A,2,Intel HD Graphics for 4th Gen Intel Processors,FCLGA1150,66.4
Pentium G3440,Discontinued,Q2'14,Haswell,Desktop,2,2,22,N/A,3.30,53,3,Intel Smart Cache,32,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",N/A,2,Intel HD Graphics for 4th Gen Intel Processors,FCLGA1150,72
Pentium G3440T,Discontinued,Q2'14,Haswell,Desktop,2,2,22,N/A,2.80,35,3,Intel Smart Cache,32,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",N/A,2,Intel HD Graphics for 4th Gen Intel Processors,FCLGA1150,66.4
Pentium G3450,Discontinued,Q2'14,Haswell,Desktop,2,2,22,N/A,3.40,53,3,Intel Smart Cache,32,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",N/A,2,Intel HD Graphics for 4th Gen Intel Processors,FCLGA1150,72
Pentium G3220,Discontinued,Q3'13,Haswell,Desktop,2,2,22,N/A,3.00,53,3,Intel Smart Cache,32,"DDR3-1333, DDR3L-1333 @ 1.5V",N/A,2,Intel HD Graphics for 4th Gen Intel Processors,FCLGA1150,72
Pentium G3220T,Discontinued,Q3'13,Haswell,Desktop,2,2,22,N/A,2.60,35,3,Intel Smart Cache,32,"DDR3-1333, DDR3L-1333 @ 1.5V",N/A,2,Intel HD Graphics for 4th Gen Intel Processors,FCLGA1150,66.4
Pentium G3320TE,Discontinued,Q3'13,Haswell,Embedded,2,2,22,N/A,2.30,35,3,Intel Smart Cache,32,"DDR3-1333, DDR3L-1333 @ 1.5V",N/A,2,Intel HD Graphics for 4th Gen Intel Processors,FCLGA1150,72
Pentium G3420,Discontinued,Q3'13,Haswell,Desktop,2,2,22,N/A,3.20,53,3,Intel Smart Cache,32,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",N/A,2,Intel HD Graphics for 4th Gen Intel Processors,FCLGA1150,72
Pentium G3420T,Discontinued,Q3'13,Haswell,Desktop,2,2,22,N/A,2.70,35,3,Intel Smart Cache,32,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",N/A,2,Intel HD Graphics for 4th Gen Intel Processors,FCLGA1150,66.4
Pentium G3430,Discontinued,Q3'13,Haswell,Desktop,2,2,22,N/A,3.30,53,3,Intel Smart Cache,32,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",N/A,2,Intel HD Graphics for 4th Gen Intel Processors,FCLGA1150,72
Pentium G2030,Discontinued,Q2'13,Ivy Bridge,Desktop,2,2,22,N/A,3.00,55,3,Intel Smart Cache,32,"DDR3 1333/1600",N/A,2,Intel HD Graphics for 3rd Gen Intel Processors,FCLGA1155,N/A
Pentium G2030T,Discontinued,Q2'13,Ivy Bridge,Desktop,2,2,22,N/A,2.60,35,3,Intel Smart Cache,32,"DDR3 1333/1600",N/A,2,Intel HD Graphics for 3rd Gen Intel Processors,FCLGA1155,N/A
Pentium G2120T,Discontinued,Q2'13,Ivy Bridge,Desktop,2,2,22,N/A,2.70,35,3,Intel Smart Cache,32,"DDR3 1333/1600",N/A,2,Intel HD Graphics for 3rd Gen Intel Processors,FCLGA1155,N/A
Pentium G2140,Discontinued,Q2'13,Ivy Bridge,Desktop,2,2,22,N/A,3.30,55,3,Intel Smart Cache,32,"DDR3 1333/1600",N/A,2,Intel HD Graphics for 3rd Gen Intel Processors,FCLGA1155,N/A
Pentium G2010,Discontinued,Q1'13,Ivy Bridge,Desktop,2,2,22,N/A,2.80,55,3,Intel Smart Cache,32,DDR3,1333,2,Intel HD Graphics for 3rd Gen Intel Processors,FCLGA1155,N/A
Pentium G2020,Discontinued,Q1'13,Ivy Bridge,Desktop,2,2,22,N/A,2.90,55,3,Intel Smart Cache,32,DDR3,1333,2,Intel HD Graphics for 3rd Gen Intel Processors,FCLGA1155,N/A
Pentium G2020T,Discontinued,Q1'13,Ivy Bridge,Desktop,2,2,22,N/A,2.50,35,3,Intel Smart Cache,32,DDR3,1333,2,Intel HD Graphics for 3rd Gen Intel Processors,FCLGA1155,N/A
Pentium G2130,Discontinued,Q1'13,Ivy Bridge,Desktop,2,2,22,N/A,3.20,55,3,Intel Smart Cache,32,"DDR3 1333/1600",N/A,2,Intel HD Graphics for 3rd Gen Intel Processors,FCLGA1155,N/A
Pentium G2100T,Discontinued,Q3'12,Ivy Bridge,Desktop,2,2,22,N/A,2.60,35,3,Intel Smart Cache,32,"DDR3 1333/1600",N/A,2,Intel HD Graphics for 3rd Gen Intel Processors,FCLGA1155,N/A
Pentium G2120,Discontinued,Q3'12,Ivy Bridge,Desktop,2,2,22,N/A,3.10,55,3,Intel Smart Cache,32,"DDR3 1333/1600",N/A,2,Intel HD Graphics for 3rd Gen Intel Processors,FCLGA1155,N/A
Pentium J6426,Launched,Q1'21,Elkhart Lake,Embedded,4,4,10,N/A,2.00,10,1.5,L2 Cache,32,"4x32 LPDDR4/x 3200MT/s Max 16GB / 2x64 DDR4 3200MT/s Max 32GB",N/A,4,Intel UHD Graphics for 10th Gen Intel Core Processors,FCBGA1493,70
Pentium J4205,Discontinued,Q3'16,Apollo Lake,Desktop,4,4,14,N/A,1.50,10,2,N/A,8,"DDR3L/LPDDR3 up to 1866 MT/s; LPDDR4 up to 2400 MT/s",N/A,2,Intel HD 505 Graphics,FCBGA1296,105
Pentium J3710,Discontinued,Q1'16,Braswell,Desktop,4,4,14,N/A,1.60,6.5,2,L2 Cache,8,DDR3L,1600,2,Name Unknown,FCBGA1170,90
Pentium J2900,Discontinued,Q4'13,Bay Trail,Desktop,4,4,22,N/A,2.41,10,2,L2 Cache,8,DDR3L,1333,2,Intel HD Graphics for Intel Atom Z3700 Processor Series,FCBGA1170,105
Pentium J2850,Discontinued,Q3'13,Bay Trail,Desktop,4,4,22,N/A,2.41,10,2,L2 Cache,8,DDR3L,1333,2,Intel HD Graphics for Intel Atom Z3700 Processor Series,FCBGA1170,100
Pentium N6415,Launched,Q1'21,Elkhart Lake,Embedded,4,4,10,N/A,1.20,6.5,1.5,L2 Cache,32,"4x32 LPDDR4/x 3200MT/s Max 16GB / 2x64 DDR4 3200MT/s Max 32GB",N/A,4,Intel UHD Graphics for 10th Gen Intel Core Processors,FCBGA1493,70
Pentium N4200E,Discontinued,Q3'19,Apollo Lake,Mobile,4,4,14,2.50,2.50,6,2,N/A,8,"DDR3L/LPDDR3 up to 1866 MT/s; LPDDR4 up to 2400 MT/s",N/A,2,Intel HD 505 Graphics,FCBGA1296,105
Pentium N4200,Launched,Q3'16,Apollo Lake,Mobile,4,4,14,N/A,1.10,6,2,L2 Cache,8,"DDR3L/LPDDR3 up to 1866 MT/s; LPDDR4 up to 2400 MT/s",N/A,2,Intel HD 505 Graphics,FCBGA1296,105
Pentium N3710,Launched,Q1'16,Braswell,Mobile,4,4,14,N/A,1.60,6,2,L2 Cache,8,DDR3L,1600,2,Name Unknown,FCBGA1170,90
Pentium N3700,Discontinued,Q1'15,Braswell,Mobile,4,4,14,N/A,1.60,6,2,L2 Cache,8,DDR3L,1600,2,Intel HD Graphics for Intel Celeron N3000 Processor Series,FCBGA1170,90
Pentium N3540,Discontinued,Q3'14,Bay Trail,Mobile,4,4,22,N/A,2.16,7.5,2,L2 Cache,8,DDR3L,1333,2,Intel HD Graphics for Intel Atom Z3700 Processor Series,FCBGA1170,100
Pentium N3530,Discontinued,Q1'14,Bay Trail,Mobile,4,4,22,N/A,2.16,7.5,2,N/A,8,DDR3L,1333,2,Intel HD Graphics for Intel Atom Z3700 Processor Series,FCBGA1170,100
Pentium N3520,Discontinued,Q4'13,Bay Trail,Mobile,4,4,22,N/A,2.17,7.5,2,N/A,8,DDR3L,1333,2,Intel HD Graphics for Intel Atom Z3700 Processor Series,FCBGA1170,105
Pentium N3510,Discontinued,Q3'13,Bay Trail,Mobile,4,4,22,N/A,2.00,7.5,2,N/A,8,DDR3L,1333,2,Intel HD Graphics for Intel Atom Z3700 Processor Series,FCBGA1170,100
Pentium 6805,Discontinued,Q4'20,Ice Lake,Mobile,2,4,10,3.00,1.10,15,4,N/A,64,"DDR4-3200, LPDDR4-3733",N/A,2,Intel UHD Graphics for 10th Gen Intel Core Processors,FCBGA1526,100
Pentium 4405U,Discontinued,Q3'15,Skylake,Mobile,2,4,14,N/A,2.10,15,2,Intel Smart Cache,32,"DDR4-1866/2133, LPDDR3-1600/1866",N/A,2,Intel HD 510 Graphics,FCBGA1356,100
Pentium 4405Y,Discontinued,Q3'15,Skylake,Mobile,2,4,14,N/A,1.50,6,2,Intel Smart Cache,16,"LPDDR3-1866, DDR3L-1600",N/A,2,Intel HD 515 Graphics,FCBGA1515,100
Pentium 3825U,Discontinued,Q1'15,Broadwell,Mobile,2,4,14,N/A,1.90,15,2,N/A,16,"DDR3L 1333/1600 LPDDR3 1333/1600",N/A,2,Intel HD Graphics for 5th Gen Intel Processors,FCBGA1168,105
Pentium 3805U,Discontinued,Q1'15,Broadwell,Mobile,2,2,14,N/A,1.90,15,2,N/A,16,"DDR3L 1333/1600 LPDDR3 1333/1600",N/A,2,Intel HD Graphics for 5th Gen Intel Processors,FCBGA1168,105
Pentium 3560M,Discontinued,Q2'14,Haswell,Mobile,2,2,22,N/A,2.40,37,2,N/A,32,"DDR3L 1333/1600",N/A,2,Intel HD Graphics for 4th Gen Intel Processors,FCPGA946,100
Pentium 3558U,Discontinued,Q4'13,Haswell,Mobile,2,2,22,N/A,1.70,15,2,Intel Smart Cache,16,"DDR3L 1333/1600, LPDDR3 1333/1600",N/A,2,Intel HD Graphics for 4th Gen Intel Processors,FCBGA1168,100
Pentium 3561Y,Discontinued,Q4'13,Haswell,Mobile,2,2,22,N/A,1.20,11.5,2,Intel Smart Cache,16,"DDR3L 1333/1600, LPDDR3 1333/1600",N/A,2,Intel HD Graphics for 4th Gen Intel Processors,FCBGA1168,100
Pentium 3550M,Discontinued,Q4'13,Haswell,Mobile,2,2,22,N/A,2.30,37,2,Intel Smart Cache,32,"DDR3L 1333/1600",N/A,2,Intel HD Graphics for 4th Gen Intel Processors,FCPGA946,100
Pentium 3556U,Discontinued,Q3'13,Haswell,Mobile,2,2,22,N/A,1.70,15,2,Intel Smart Cache,16,"DDR3L 1333/1600, LPDDR3 1333/1600",N/A,2,Intel HD Graphics for 4th Gen Intel Processors,FCBGA1168,100
Pentium 3560Y,Discontinued,Q3'13,Haswell,Mobile,2,2,22,N/A,1.20,11.5,2,Intel Smart Cache,16,"DDR3L 1333/1600, LPDDR3 1333/1600",N/A,2,Intel HD Graphics for 4th Gen Intel Processors,FCBGA1168,100
Pentium 2127U,Discontinued,Q3'13,Ivy Bridge,Mobile,2,2,22,N/A,1.90,17,2,Intel Smart Cache,32,"DDR3/L/-RS 1333/1600",N/A,2,Intel HD Graphics for 3rd Gen Intel Processors,FCBGA1023,105
