Product,Status,Release Date,Cores,Max. Turbo Freq.(GHz),Base Freq.(GHz),Cache(MB),Cache Info,Integrated Graphics
Mobile Pentium 4 552 Supporting HT Technology,Discontinued,N/A,1,N/A,3.46,1,L2 Cache,N/A
"Mobile Pentium 4 Supporting HT Technology, 2.40 GHz, 512K Cache, 533 MHz FSB",Discontinued,N/A,1,N/A,2.40,0.5,L2 Cache,N/A
"Mobile Pentium 4 Supporting HT Technology, 2.66 GHz, 512K Cache, 533 MHz FSB",Discontinued,N/A,1,N/A,2.66,0.5,L2 Cache,N/A
"Mobile Pentium 4 Supporting HT Technology, 2.80 GHz, 512K Cache, 533 MHz FSB",Discontinued,N/A,1,N/A,2.80,0.5,L2 Cache,N/A
"Mobile Pentium 4 Supporting HT Technology, 3.06 GHz, 512K Cache, 533 MHz FSB",Discontinued,N/A,1,N/A,3.06,0.5,L2 Cache,N/A
"Mobile Pentium 4 Supporting HT Technology, 3.20 GHz, 512K Cache, 533 MHz FSB",Discontinued,N/A,1,N/A,3.20,0.5,L2 Cache,N/A
"Mobile Pentium III - M 1.00 GHz, 512K Cache, 133 MHz FSB",Discontinued,N/A,1,N/A,1.00,0.5,L2 Cache,N/A
"Mobile Pentium III - M 1.06 GHz, 512K Cache, 133 MHz FSB",Discontinued,N/A,1,N/A,1.06,0.5,L2 Cache,N/A
"Mobile Pentium III - M 1.13 GHz, 512K Cache, 133 MHz FSB",Discontinued,N/A,1,N/A,1.13,0.5,L2 Cache,N/A
"Mobile Pentium III - M 1.20 GHz, 512K Cache, 133 MHz FSB",Discontinued,N/A,1,N/A,1.20,0.5,L2 Cache,N/A
"Mobile Pentium III - M 1.26 GHz, 512K Cache, 133 MHz FSB",Discontinued,N/A,1,N/A,1.26,0.5,L2 Cache,N/A
"Mobile Pentium III - M 1.33 GHz, 512K Cache, 133 MHz FSB",Discontinued,N/A,1,N/A,1.33,0.5,L2 Cache,N/A
"Mobile Pentium III - M 866 MHz, 512K Cache, 133 MHz FSB",Discontinued,N/A,1,N/A,0.866,0.5,L2 Cache,N/A
"Mobile Pentium III - M 933 MHz, 512K Cache, 133 MHz FSB",Discontinued,N/A,1,N/A,0.933,0.5,L2 Cache,N/A
"Mobile Pentium III - M ULV 700 MHz, 512K Cache, 100 MHz FSB",Discontinued,N/A,1,N/A,0.65,0.25,L2 Cache,N/A
"Mobile Pentium III 1.00 GHz, 256K Cache, 100 MHz FSB",Discontinued,N/A,1,N/A,1.00,0.25,L2 Cache,N/A
"Mobile Pentium III 450 MHz, 256K Cache, 100 MHz FSB",Discontinued,N/A,1,N/A,0.45,0.25,L2 Cache,N/A
"Mobile Pentium III 500 MHz, 256K Cache, 100 MHz FSB",Discontinued,N/A,1,N/A,0.50,0.25,L2 Cache,N/A
"Mobile Pentium III 600 MHz, 256K Cache, 100 MHz FSB",Discontinued,N/A,1,N/A,0.60,0.5,L2 Cache,N/A
"Mobile Pentium III 650 MHz, 256K Cache, 100 MHz FSB",Discontinued,N/A,1,N/A,0.65,0.25,L2 Cache,N/A
"Mobile Pentium III 700 MHz, 256K Cache, 100 MHz FSB",Discontinued,N/A,1,N/A,0.70,0.25,L2 Cache,N/A
"Mobile Pentium III 750 MHz, 256K Cache, 100 MHz FSB",Discontinued,N/A,1,N/A,0.75,0.25,L2 Cache,N/A
"Mobile Pentium III 800 MHz, 256K Cache, 100 MHz FSB",Discontinued,N/A,1,N/A,0.80,0.25,L2 Cache,N/A
"Mobile Pentium III 850 MHz, 256K Cache, 100 MHz FSB",Discontinued,N/A,1,N/A,0.85,0.25,L2 Cache,N/A
"Mobile Pentium III 900 MHz, 256K Cache, 100 MHz FSB",Discontinued,N/A,1,N/A,0.90,0.25,L2 Cache,N/A
"Mobile Pentium III LV 600 MHz, 256K Cache, 100 MHz FSB",Discontinued,N/A,1,N/A,0.60,0.25,L2 Cache,N/A
"Pentium 4 1.30 GHz, 256K Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,1.30,0.25,L2 Cache,N/A
"Pentium 4 1.40 GHz, 256K Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,1.40,0.25,L2 Cache,N/A
"Pentium 4 1.50 GHz, 256K Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,1.50,0.25,L2 Cache,N/A
"Pentium 4 1.60 GHz, 256K Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,1.60,0.25,L2 Cache,N/A
"Pentium 4 1.60 GHz, 512K Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,1.60,0.5,L2 Cache,N/A
"Pentium 4 1.70 GHz, 256K Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,1.70,0.25,L2 Cache,N/A
"Pentium 4 1.70 GHz, 512K Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,1.70,0.5,N/A,N/A
