Product,Status,Release Date,Cores,Max. Turbo Freq.(GHz),Base Freq.(GHz),Cache(MB),Cache Info,Integrated Graphics
"64-bit Xeon 2.80 GHz, 1M Cache, 800 MHz FSB",Discontinued,N/A,1,N/A,2.80,1,L2 Cache,N/A
"64-bit Xeon LV 2.80 GHz, 1M Cache, 800 MHz FSB",Discontinued,Q2'04,1,N/A,2.80,1,L2 Cache,N/A
"Xeon 3.20 GHz, 2M Cache, 533 MHz FSB",Discontinued,N/A,1,N/A,3.20,2,L2 Cache,N/A
"Xeon 3.20 GHz, 1M Cache, 533 MHz FSB",Discontinued,N/A,1,N/A,3.20,1,L2 Cache,N/A
"Xeon 3.06 GHz, 1M Cache, 533 MHz FSB",Discontinued,N/A,1,N/A,3.06,1,L2 Cache,N/A
"Xeon 3.06 GHz, 512K Cache, 533 MHz FSB",Discontinued,N/A,1,N/A,3.06,0.5,L2 Cache,N/A
"Xeon 3.00 GHz, 4M Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,3.00,4,L2 Cache,N/A
"Xeon 3.00 GHz, 512K Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,3.00,0.5,L2 Cache,N/A
"Xeon 2.80 GHz, 4M Cache, 800 MHz FSB",Discontinued,N/A,2,N/A,2.80,4,L2 Cache,N/A
"Xeon 2.80 GHz, 2M Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,2.80,2,L2 Cache,N/A
"Xeon 2.80 GHz, 1M Cache, 533 MHz FSB",Discontinued,N/A,1,N/A,2.80,1,L2 Cache,N/A
"Xeon 2.80 GHz, 512K Cache, 533 MHz FSB",Discontinued,Q4'03,1,N/A,2.80,0.5,L2 Cache,N/A
"Xeon 2.80 GHz, 512K Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,2.80,0.5,L2 Cache,N/A
"Xeon 2.70 GHz, 2M Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,2.70,2,L2 Cache,N/A
"Xeon 2.66 GHz, 512K Cache, 533 MHz FSB",Discontinued,N/A,1,N/A,2.66,0.5,L2 Cache,N/A
"Xeon 2.60 GHz, 512K Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,2.60,0.5,L2 Cache,N/A
"Xeon 2.50 GHz, 1M Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,2.50,1,L2 Cache,N/A
"Xeon 2.40 GHz, 1M Cache, 533 MHz FSB",Discontinued,N/A,1,N/A,2.40,1,L2 Cache,N/A
"Xeon 2.40 GHz, 512K Cache, 533 MHz FSB",Discontinued,Q4'02,1,N/A,2.40,0.5,L2 Cache,N/A
"Xeon LV 2.40 GHz, 512K Cache, 400 MHz FSB",Discontinued,Q3'03,1,N/A,2.40,0.5,L2 Cache,N/A
"Xeon 2.40 GHz, 512K Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,2.40,0.5,L2 Cache,N/A
"Xeon 2.20 GHz, 2M Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,2.20,2,L2 Cache,N/A
"Xeon 2.20 GHz, 512K Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,2.20,0.5,L2 Cache,N/A
"Xeon LV 2.16 GHz, 2M Cache, 667 MHz FSB",Discontinued,Q3'06,2,N/A,2.16,2,L2 Cache,N/A
"Xeon 2.00 GHz, 2M Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,2.00,2,L2 Cache,N/A
"Xeon LV 2.00 GHz, 2M Cache, 667 MHz FSB",Discontinued,Q1'06,2,N/A,2.00,2,L2 Cache,N/A
"Xeon 2.00 GHz, 1M Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,2.00,1,L2 Cache,N/A
"Xeon 2.00 GHz, 512K Cache, 533 MHz FSB",Discontinued,Q1'02,1,N/A,2.00,0.5,L2 Cache,N/A
"Xeon 2.00 GHz, 512K Cache, 400 MHz FSB",Launched,N/A,1,N/A,2.00,0.5,L2 Cache,N/A
"Xeon 2.00 GHz, 256K Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,2.00,0.25,L2 Cache,N/A
"Xeon 1.90 Ghz, 1M Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,1.90,1,L2 Cache,N/A
"Xeon 1.80 GHz, 512K Cache, 400 MHz FSB",Launched,N/A,1,N/A,1.80,0.5,L2 Cache,N/A
"Xeon 1.70 GHz, 256K Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,1.70,0.25,L2 Cache,N/A
"Xeon ULV 1.66 GHz, 2M Cache, 667 MHz FSB",Discontinued,Q1'06,2,N/A,1.66,2,L2 Cache,N/A
"Xeon LV 1.66 GHz, 2M Cache, 667 MHz FSB",Discontinued,Q1'06,2,N/A,1.66,2,L2 Cache,N/A
"Xeon LV 1.60 GHz, 512K Cache, 400 MHz FSB",Discontinued,Q3'02,1,N/A,1.60,0.5,L2 Cache,N/A
"Xeon 1.60 GHz, 1M Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,1.60,1,L2 Cache,N/A
"Xeon 1.50 GHz, 1M Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,1.50,1,L2 Cache,N/A
"Xeon 1.50 GHz, 512K Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,1.50,0.5,L2 Cache,N/A
"Xeon 1.50 GHz, 256K Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,1.50,0.25,L2 Cache,N/A
"Xeon 1.40 GHz, 512K Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,1.40,0.5,L2 Cache,N/A
"Xeon 1.40 GHz, 256K Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,1.40,0.25,L2 Cache,N/A
"Pentium III Xeon 1.00 GHz, 256K Cache, 133 MHz FSB",Discontinued,N/A,1,N/A,1.00,0.25,L2 Cache,N/A
"Pentium III Xeon 933 MHz, 256K Cache, 133 MHz FSB",Discontinued,N/A,1,N/A,0.933,0.25,L2 Cache,N/A
"Pentium III Xeon 900 MHz, 2M Cache, 100 MHz FSB",Discontinued,N/A,1,N/A,0.90,2,L2 Cache,N/A
"Pentium III Xeon 866 MHz, 256K Cache, 133 MHz FSB",Discontinued,N/A,1,N/A,0.866,0.25,L2 Cache,N/A
"Pentium III Xeon 800 MHz, 256K Cache, 133 MHz FSB",Discontinued,N/A,1,N/A,0.80,0.25,L2 Cache,N/A
"Pentium III Xeon 733 MHz, 256K Cache, 133 MHz FSB",Discontinued,N/A,1,N/A,0.733,0.25,L2 Cache,N/A
"Pentium III Xeon 700 MHz, 2M Cache, 100 MHz FSB",Discontinued,N/A,1,N/A,0.70,2,L2 Cache,N/A
"Pentium III Xeon 700 MHz, 1M Cache, 100 MHz FSB",Discontinued,N/A,1,N/A,0.70,1,L2 Cache,N/A
"Pentium III Xeon 667 MHz, 256K Cache, 133 MHz FSB",Discontinued,N/A,1,N/A,0.667,0.25,L2 Cache,N/A
"Pentium III Xeon 600 MHz, 256K Cache, 133 MHz FSB",Discontinued,N/A,1,N/A,0.60,0.25,L2 Cache,N/A
"Pentium III Xeon 600 MHz, 256K Cache, 100 MHz FSB",Discontinued,N/A,1,N/A,0.60,0.25,N/A,N/A
"Pentium III Xeon 550 MHz, 2M Cache, 100 MHz FSB",Discontinued,N/A,1,N/A,0.55,2,L2 Cache,N/A
"Pentium III Xeon 550 MHz, 1M Cache, 100 MHz FSB",Discontinued,N/A,1,N/A,0.55,1,L2 Cache,N/A
"Pentium III Xeon 550 MHz, 512K Cache, 100 MHz FSB",Discontinued,N/A,1,N/A,0.55,0.5,L2 Cache,N/A
"Pentium III Xeon 500 MHz, 2M Cache, 100 MHz FSB",Discontinued,N/A,1,N/A,0.50,2,L2 Cache,N/A
"Pentium III Xeon 500 MHz, 1M Cache, 100 MHz FSB",Discontinued,N/A,1,N/A,0.50,1,L2 Cache,N/A
"Pentium III Xeon 500 MHz, 512K Cache, 100 MHz FSB",Discontinued,N/A,1,N/A,0.50,0.5,L2 Cache,N/A
"Pentium II Xeon 450 MHz, 2M Cache, 100 MHz FSB",Discontinued,N/A,1,N/A,0.45,2,L2 Cache,N/A
"Pentium II Xeon 450 MHz, 1M Cache, 100 MHz FSB",Discontinued,N/A,1,N/A,0.45,2,L2 Cache,N/A
"Pentium II Xeon 400 MHz, 512K Cache, 100 MHz FSB",Discontinued,N/A,1,N/A,0.40,0.5,L2 Cache,N/A
"Pentium II Xeon 400 MHz, 1M Cache, 100 MHz FSB",Discontinued,N/A,1,N/A,0.40,0.5,L2 Cache,N/A
"Pentium II Xeon 450 MHz, 512K Cache, 100 MHz FSB",Discontinued,N/A,1,N/A,0.45,0.5,L2 Cache,N/A
